"","Ensemble","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbols"
"55","ENSMUSG00000030410",415.953812087864,3.00462831174783,0.725720889300294,1.73060349463855e-06,0.000178889750708954,"Dmwd"
"56","ENSMUSG00000018930",2130.74140735482,2.66484167563531,0.650598457342567,2.18291020753676e-06,0.00021436178238011,"Ccl4"
"57","ENSMUSG00000009292",472.138523086707,2.23529106555394,0.544447854661792,2.25534766103622e-06,0.00021739891073743,"Trpm2"
"58","ENSMUSG00000037922",89.9083145817076,3.63978810752211,0.896553923116147,2.37536053112115e-06,0.000227571126005949,"Bank1"
"59","ENSMUSG00000030830",6912.06594431238,4.36812711704745,1.09486013350067,2.54076222548347e-06,0.000239044647226325,"Itgal"
"60","ENSMUSG00000040829",381.319641953321,2.37049418987882,0.580443335347163,2.58480243725757e-06,0.000240310153220064,"Zmynd15"
"61","ENSMUSG00000032661",7197.06420940065,3.10179689344806,0.780904496429511,3.60556590001893e-06,0.000325578456443089,"Oas3"
"62","ENSMUSG00000022180",6659.30025421198,2.02957873218597,0.507159881236248,3.7610174227531e-06,0.000333223386343645,"Slc7a8"
"63","ENSMUSG00000051439",17573.1833407417,2.34922280584636,0.590659838014503,3.7750612760418e-06,0.000333223386343645,"Cd14"
"64","ENSMUSG00000024534",91.8729701632014,3.69137001774577,0.936472625425519,3.97738490141643e-06,0.000349121070229357,"Sncaip"
"65","ENSMUSG00000030187",508.253970558644,4.25145970746763,1.09520411970053,4.07357014173425e-06,0.000352160991108362,"Klra2"
"66","ENSMUSG00000004661",308.049371348813,1.06933462036338,0.26184241108371,4.56389812920797e-06,0.000383739557317888,"Arid3b"
"67","ENSMUSG00000038042",58.8755948936502,1.35507717953478,0.342033905192154,5.64949864392932e-06,0.000457551147904214,"Ptpdc1"
"68","ENSMUSG00000048498",597.810888757655,4.16952277573934,1.09870411886932,5.74929806817998e-06,0.000463246006396122,"Cd300e"
"69","ENSMUSG00000045658",6868.78043189812,1.67146593368116,0.426895874780067,5.91477061849845e-06,0.000469357959383069,"Pid1"
"70","ENSMUSG00000057406",2368.03059235843,1.60899633942249,0.410863309916141,6.09212371513627e-06,0.000481002250312669,"Nsd2"
"71","ENSMUSG00000022722",116.19580572843,1.34869405457099,0.342118015042078,6.17252738204728e-06,0.000484913751133634,"Arl6"
"72","ENSMUSG00000078452",176.692849344055,1.93280759172388,0.497702482409846,6.30436962099299e-06,0.000489067329794728,"Raet1a"
"73","ENSMUSG00000060216",6847.37721289002,1.20284315832945,0.303375732776614,6.30828885202353e-06,0.000489067329794728,"Arrb2"
"74","ENSMUSG00000038235",315.58813593034,2.95583606542812,0.776552928252188,6.87706296855337e-06,0.000524526278455876,"F11r"
"75","ENSMUSG00000027580",3493.89773971089,2.21683798531346,0.581654317593768,7.38560620992575e-06,0.000544801149156589,"Helz2"
"76","ENSMUSG00000045671",1025.3308301715,1.59115451075252,0.412898217895439,7.76314413009234e-06,0.000567323351497725,"Spred2"
"77","ENSMUSG00000034855",3205.2826898098,4.5777120210873,1.24712663755222,8.38688378436317e-06,0.000601711041186823,"Cxcl10"
"78","ENSMUSG00000032420",12.086559698425,4.20454084536029,1.10838697872289,1.01912314393735e-05,0.000708516054758568,"Nt5e"
"79","ENSMUSG00000108371",15.7352632229257,5.75795204160955,2.1926316811825,1.10802178158659e-05,0.000756923401403845,NA
"80","ENSMUSG00000040410",277.706833703533,1.23273874045304,0.323260961693276,1.12876754496525e-05,0.000764448089073015,"Fbxl4"
"81","ENSMUSG00000018920",6682.07854450724,1.7683086527265,0.47291930034657,1.12427071892282e-05,0.000764448089073015,"Cxcl16"
