"","Ensemble","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbols"
"39","ENSMUSG00000004933",364.982772158574,-3.39959524776836,0.727045688405451,7.75804378552836e-08,1.60387347313449e-05,"Matk"
"40","ENSMUSG00000032038",662.676854394264,-1.7008514377431,0.353556663007023,8.12640891859227e-08,1.65820957050548e-05,"St3gal4"
"41","ENSMUSG00000004655",19.1459567586683,-5.09389472697003,1.08004020752603,9.53902570641982e-08,1.87346464874085e-05,"Aqp1"
"42","ENSMUSG00000043252",450.667369585669,-1.54416337936074,0.325130831521081,1.04984650615077e-07,2.03342185227358e-05,"Tmem64"
"43","ENSMUSG00000039976",527.069377483625,-2.31231333905493,0.497374054736292,1.20351087012164e-07,2.2511384275418e-05,"Tbc1d16"
"44","ENSMUSG00000018427",233.807303220234,-2.3226691891028,0.501381056010515,1.33345593962767e-07,2.46485408510941e-05,"Ypel2"
"45","ENSMUSG00000090958",237.79426829168,-4.82830731260041,1.07633529502051,1.35193413785268e-07,2.46905490912011e-05,"Lrrc32"
"46","ENSMUSG00000080797",46.236344953589,-2.02794045797497,0.436474799942238,1.38024818024946e-07,2.46905490912011e-05,"Gm15760"
"47","ENSMUSG00000040848",4246.26090184508,-1.63734512336085,0.35307256461573,1.74241609326028e-07,2.94662185684414e-05,"Sft2d2"
"48","ENSMUSG00000030691",1349.70916646255,-2.25303842372089,0.500760641563606,2.42600982617083e-07,3.85024913018142e-05,"Fchsd2"
"49","ENSMUSG00000026807",136.971968921165,-3.69648593161215,0.854688108027293,3.8616069663466e-07,5.77070824412838e-05,"Ak8"
"50","ENSMUSG00000030283",82.419384421622,-5.02703599354056,1.1888153647364,3.96865876118016e-07,5.8276230332395e-05,"St8sia1"
"51","ENSMUSG00000035828",605.364551552723,-1.61516155299702,0.366511113171588,4.63640488466902e-07,6.39010469718594e-05,"Pim3"
"52","ENSMUSG00000020689",1232.41528624034,-3.4950463063981,0.822004112143994,5.10609050890104e-07,6.85699949366266e-05,"Itgb3"
"53","ENSMUSG00000024770",545.716966277768,-3.63990748547586,0.86360767734175,5.65803131888074e-07,7.34953157504648e-05,"Lipn"
"54","ENSMUSG00000102715",102.28492303907,-3.82971072237087,0.912347762081593,6.44988041901284e-07,8.04289850345474e-05,NA
"55","ENSMUSG00000044716",20.0916614687317,-3.20385221759724,0.75785214524553,7.45528489135907e-07,8.94178902389571e-05,"Dok7"
"56","ENSMUSG00000005465",78.5387318937706,-3.09959236499074,0.743495208982222,8.07458829655983e-07,9.61120691784455e-05,"Il27ra"
"57","ENSMUSG00000021779",48.7560099650518,-3.11158129247486,0.745039572527355,8.33470751263127e-07,9.84623492018515e-05,"Thrb"
"58","ENSMUSG00000030559",28.0733011817701,-3.53935223916963,0.849327814247622,1.01357234697019e-06,0.000116242691354713,"Rab38"
"59","ENSMUSG00000049184",69.473800852129,-1.75521984293172,0.412447490386271,1.0441151911502e-06,0.000118877810748927,"Purg"
"60","ENSMUSG00000009614",53.8163284769628,-4.95309840423501,1.22267409168513,1.06147786529318e-06,0.000119985181435155,"Sardh"
"61","ENSMUSG00000031445",79.6640011605706,-1.85111807592234,0.440413279953825,1.16770478633495e-06,0.000130120408531169,"Proz"
"62","ENSMUSG00000027797",86.5878214021403,-4.26013543987395,1.08935921002284,1.7502844444084e-06,0.000179741628696371,"Dclk1"
"63","ENSMUSG00000020346",3854.69703552644,-1.52223009116545,0.369749095669912,1.94207559595988e-06,0.00019814215430988,"Mgat1"
"64","ENSMUSG00000008845",120.441243471288,-4.29367439749275,1.1033172217121,1.97358773724402e-06,0.000200058132435987,"Cd163"
"65","ENSMUSG00000034641",4455.35544006024,-1.6614669182384,0.406223766299911,1.9916054052892e-06,0.000200590411076307,"Cd300ld"
"66","ENSMUSG00000025283",5439.73566174802,-1.58515212293036,0.394947679225992,2.09054084132936e-06,0.000206582249679037,"Sat1"
"67","ENSMUSG00000030103",1691.37025810677,-2.41532858401403,0.607279370025639,2.21405101687148e-06,0.000214735614673362,"Bhlhe40"
"68","ENSMUSG00000069607",243.900154998035,-2.46577974709709,0.619058088747386,2.20214271191519e-06,0.000214735614673362,"Cd300ld3"
"69","ENSMUSG00000030711",139.442256930753,-4.28775757123383,1.12141046775278,2.58409138414852e-06,0.000240310153220064,"Sult1a1"
"70","ENSMUSG00000070803",5.52930341887998,-7.54623575295183,2.91564270444351,2.92555492342911e-06,0.000270390111511284,"Cited4"
"71","ENSMUSG00000037972",132.174804362859,-2.61004296233529,0.670104855009693,3.10831833589782e-06,0.000283941265660619,"Snn"
"72","ENSMUSG00000032035",336.195347156776,-1.55334167520725,0.390506415413,3.60263986097036e-06,0.000325578456443089,"Ets1"
"73","ENSMUSG00000016349",200.231550479575,-4.36834471346323,1.18228409387194,3.77283010683273e-06,0.000333223386343645,"Eef1a2"
"74","ENSMUSG00000101389",1899.95360062855,-3.8488143453181,1.03655358846366,4.07925791635195e-06,0.000352160991108362,"Ms4a4a"
"75","ENSMUSG00000041193",54.6955727099666,-3.28612221422894,0.876769524934297,4.41576877467792e-06,0.00037706825536815,"Pla2g5"
"76","ENSMUSG00000056153",1221.07869778875,-1.54748594400355,0.398443144020992,4.49286585954109e-06,0.000381577883162755,"Socs6"
"77","ENSMUSG00000055723",116.954068505367,-2.39803983376979,0.633807663536571,4.74998734659994e-06,0.000394877254972372,"Rras2"
"78","ENSMUSG00000030605",10507.9686085882,-3.01232662813063,0.81356987738008,5.32039590355981e-06,0.000435385731441311,"Mfge8"
"79","ENSMUSG00000031596",4174.92058892771,-3.55091084881547,0.974932716596684,5.64789696755651e-06,0.000457551147904214,"Slc7a2"
"80","ENSMUSG00000098050",170.525546436904,-2.72996499539397,0.735434044293316,5.78363155915771e-06,0.000463634791109623,NA
"81","ENSMUSG00000021756",2944.70164319375,-1.90293536467767,0.50892118194955,6.9907225263032e-06,0.000530619479870898,"Il6st"
"82","ENSMUSG00000001930",3840.53409808285,-2.87711062449018,0.792591141858571,7.15094716973713e-06,0.000534365248502448,"Vwf"
"83","ENSMUSG00000022103",27.7366797935827,-3.84701633479759,1.07636415223715,7.30049236821209e-06,0.000541062906081832,"Gfra2"
"84","ENSMUSG00000094562",70.8937355562501,-4.30535560792763,1.21576071261657,7.45955619453806e-06,0.000547684798731692,"Trav13-4-dv7"
"85","ENSMUSG00000041729",21.5647243137007,-3.17062643765562,0.868290578949796,8.142271571164e-06,0.000592274865398745,"Coro2b"
"86","ENSMUSG00000027805",65.5774377452646,-2.26294705851547,0.616745285179284,8.38636513773777e-06,0.000601711041186823,"Pfn2"
"87","ENSMUSG00000034957",4586.77090277259,-2.31660099922568,0.640997333571142,8.63018424363954e-06,0.000616352067436656,"Cebpa"
"88","ENSMUSG00000020034",571.157923072335,-2.56310923508036,0.710911232581713,8.9596883471261e-06,0.000634119924820024,"Tcp11l2"
"89","ENSMUSG00000026748",902.458069068629,-4.02174254651663,1.17488333286102,1.04372437413159e-05,0.000722193845858154,"Plxdc2"
"90","ENSMUSG00000022797",4646.15324005339,-2.93893328291478,0.838626528634213,1.09848861297027e-05,0.000753687907728769,"Tfrc"
"91","ENSMUSG00000022303",252.99108654853,-2.80312737993752,0.806523031403158,1.27863521454073e-05,0.000844114138271595,"Dcstamp"
"92","ENSMUSG00000028152",641.709451985657,-1.65167588262691,0.456913272893722,1.30820209538413e-05,0.000860019720614034,"Tspan5"
"93","ENSMUSG00000040209",847.877318300787,-1.64594449654605,0.462368940182478,1.57526600849353e-05,0.000993999177728927,"Zfp704"
"94","ENSMUSG00000024420",17.6719012059672,-3.85913584432635,1.16496135546484,1.91283875464048e-05,0.00115594317357351,"Zfp521"
"95","ENSMUSG00000040265",8.63679669146432,-3.24921615847218,0.926495432516306,2.01875711388628e-05,0.00117963455838128,"Dnm3"
"96","ENSMUSG00000008540",2313.82955266373,-1.80263237427645,0.52097032586005,2.09241701333726e-05,0.00120901522792304,"Mgst1"
"97","ENSMUSG00000015709",86.0169741754844,-3.30608812533933,1.00545588818291,2.17376675258191e-05,0.00123747185567272,"Arnt2"
"98","ENSMUSG00000004207",276328.441726506,-1.89216490234275,0.552991862656947,2.23908890244663e-05,0.00127005649224698,"Psap"
"99","ENSMUSG00000022096",29.7056066539747,-4.03070124424683,1.25697862897463,2.32074874100786e-05,0.0013069392193088,"Hr"
"100","ENSMUSG00000032766",356.261268017844,-1.70761777203137,0.496398315331922,2.37923820267741e-05,0.00132778218668712,"Gng11"
"101","ENSMUSG00000031444",889.076433969693,-3.2990453716275,1.01610896220092,2.38311212223631e-05,0.00132778218668712,"F10"
"102","ENSMUSG00000021003",3119.89860025775,-1.79588147215023,0.545042914586921,2.47252624416059e-05,0.0013583332988899,"Galc"
"103","ENSMUSG00000094212",39.4551780101565,-3.72319092051827,1.16145225978388,2.64237081207793e-05,0.0014266986322807,"Trav14-3"
"104","ENSMUSG00000118084",14.0567282253188,-2.536510303094,0.760767161773497,2.73038770220926e-05,0.00146119818132095,NA
"105","ENSMUSG00000104554",15.5416995904554,-3.26001340977789,1.01506403626348,2.89075681479597e-05,0.00152927848734257,"Gm4610"
"106","ENSMUSG00000047250",925.62791600183,-3.07137830033627,0.960656057038845,2.99841802947144e-05,0.00157562354779449,"Ptgs1"
"107","ENSMUSG00000033174",300.94974173801,-3.75068964401031,1.21336710286612,3.27854208415286e-05,0.00167911600459614,"Mgll"
"108","ENSMUSG00000054510",183.983093914351,-3.05368984298409,0.973989757932495,3.63316749384117e-05,0.00183414682626431,"4930440I19Rik"
"109","ENSMUSG00000020661",4902.09550558202,-1.8755267746119,0.573238590166036,3.75671433754321e-05,0.00187382525941203,"Dnmt3a"
"110","ENSMUSG00000043832",1460.43683864987,-2.64161049144705,0.830662289881531,3.80034169026022e-05,0.0018895876151066,"Clec4a3"
"111","ENSMUSG00000044461",6.94748987178575,-4.47359257996478,1.366312321357,4.25584110855386e-05,0.00205747001531071,"Shisa2"
"112","ENSMUSG00000029413",1129.0616766307,-1.77816600771678,0.547159627858872,4.32153398045113e-05,0.00207645082265591,"Naaa"
"113","ENSMUSG00000038037",1041.85988139762,-2.72916970772943,0.882771305760589,4.67684417087774e-05,0.00222674471554034,"Socs1"
"114","ENSMUSG00000106981",12.9474357777702,-2.08467931302009,0.646580729976816,5.7538148224453e-05,0.00260530082104497,NA
"115","ENSMUSG00000079445",45.3023537031923,-3.1222072825116,1.04400239442778,5.77373159334209e-05,0.00260680663202848,"B3gnt7"
"116","ENSMUSG00000070576",7.95603492968556,-3.39630720780094,1.0942709676791,6.18215001050467e-05,0.00274926264817481,"Mn1"
"117","ENSMUSG00000117764",16.9734023621725,-3.60054496542385,1.19387103076855,6.8776515046819e-05,0.00296872693520775,NA
"118","ENSMUSG00000030742",58.8305933169977,-2.1325853571379,0.696940922274854,7.15530460336668e-05,0.00305500396543743,"Lat"
"119","ENSMUSG00000044986",77.042256270192,-2.26229676120081,0.737284778487168,7.37359144193894e-05,0.00313118564150661,"Tst"
"120","ENSMUSG00000054000",573.300279720264,-1.631052853262,0.525477322126044,7.69197602300503e-05,0.0032228353939588,"Tusc1"
"121","ENSMUSG00000015222",77.4748747960418,-3.19543011228125,1.13653810106217,8.929485861711e-05,0.00357158640816602,"Map2"
"122","ENSMUSG00000049526",81.3807709972339,-1.91602130344768,0.637280419038846,8.9448094812551e-05,0.00357158640816602,"Tmem202"
"123","ENSMUSG00000037375",49.3724081330989,-1.70225011908242,0.560655534401251,9.39701423389404e-05,0.00371903999100612,"Hhat"
"124","ENSMUSG00000037759",440.909977875685,-1.761089603325,0.585848819198143,9.59172261171362e-05,0.00378063959531887,"Ptger2"
"125","ENSMUSG00000054931",14.2469177293339,-2.30401191505705,0.766039382162529,0.000111259580632091,0.00422248920505174,"Zkscan4"
"126","ENSMUSG00000067825",316.90917933268,-1.53418098820274,0.522832387107265,0.000137274726354722,0.00492433904220408,"Pex26"
"127","ENSMUSG00000032554",9102.75322869494,-3.01129886471929,1.13444619499177,0.000141147079046635,0.00499685789478037,"Trf"
"128","ENSMUSG00000026303",23.3647311942735,-2.04533383216601,0.710767326946,0.000148941280113405,0.00521940230649322,"Mlph"
"129","ENSMUSG00000021186",91.9357279322814,-2.69649486605954,1.00126287900815,0.000150164385548263,0.00524307294607624,"Fbln5"
"130","ENSMUSG00000039206",2455.99741990962,-2.11349796802631,0.758637192078893,0.000153029667045508,0.00533126857786922,"Daglb"
"131","ENSMUSG00000049709",74.6332894146159,-1.52039735587156,0.522550568897276,0.000156734968209319,0.00540048206251058,"Nlrp10"
"132","ENSMUSG00000018849",25.7402599612877,-2.2618810968029,0.824884353076625,0.000165883494813263,0.00564147504438525,"Wwc1"
"133","ENSMUSG00000028238",5196.59678316382,-2.69422937410938,1.04297071420651,0.000183294747827498,0.00612750442099076,"Atp6v0d2"
"134","ENSMUSG00000047996",104.010333076987,-2.50657374176297,0.953072445162991,0.000190273628778297,0.00632046354199705,"Prrg1"
"135","ENSMUSG00000087496",5.60956666627321,-3.24688768798589,1.17711991220755,0.000205847696782199,0.00673808127467065,NA
